date,CPI,CPI_yoy,CPI_mom,coreCPI,coreCPI_yoy,coreCPI_mom,PPI,PPI_yoy,PPI_mom,unemployment,unemployment_yoy,unemployment_mom,Nonfarm,Nonfarm_yoy,Nonfarm_mom,industrial production,industrial production_yoy,industrial production_mom,OECD leading,OECD leading_yoy,OECD leading_mom,consumer sentiment_mom,interest rate,previous interest rate,next interest rate,previous change,present change
1981-11-01,93.8,9.579439252336464,0.4282655246252487,92.5,10.2502979737783,0.4343105320304019,98.8,6.008583690987113,-0.1011122345803916,8.3,10.666666666666668,5.063291139240511,91171.0,0.4672330765755239,-0.2287152549792059,50.3546,-1.1121170285678494,-1.1614189843030864,97.81953,-2.2285735418174246,-0.2884127178449214,-11.09530583214794,13.31,15.08,12.37,-1.7699999999999996,-0.9400000000000012
1981-12-01,94.1,8.912037037037024,0.3198294243070387,93.0,9.540636042402827,0.540540540540535,98.8,5.330490405117261,0.0,8.5,18.05555555555556,2.409638554216853,90895.0,-0.052780312943268,-0.3027278410898226,49.8086,-2.825760383947562,-1.0843100729625466,97.5635,-2.4663452983387124,-0.2617370989208334,2.8799999999999937,12.37,13.31,13.22,-0.9400000000000012,0.8500000000000014
1982-01-01,94.4,8.25688073394495,0.3188097768331621,93.3,9.250585480093676,0.3225806451612856,99.7,4.726890756302526,0.9109311740890692,8.6,14.666666666666671,1.17647058823529,90565.0,-0.5140992826777158,-0.3630562737224285,48.7877,-4.2116278704489085,-2.0496460450604825,97.32259,-2.621933715637803,-0.2469263607804195,10.419906687402802,13.22,12.37,14.78,0.8500000000000014,1.5599999999999987
1982-02-01,94.7,7.613636363636367,0.3177966101694851,93.8,9.196740395809066,0.5359056806002238,99.8,3.8501560874089513,0.1003009027081169,8.9,20.270270270270263,3.488372093023262,90563.0,-0.5949179518138448,-0.0022083586374455,49.7839,-1.8527828214424336,2.041908103886847,97.07986,-2.7575506246444115,-0.2494076657844846,-6.338028169014088,14.78,13.22,14.68,1.5599999999999987,-0.0999999999999996
1982-03-01,94.7,6.884875846501148,0.0,93.9,8.680555555555557,0.1066098081023536,99.6,2.680412371134011,-0.2004008016032066,9.0,21.62162162162162,1.1235955056179805,90434.0,-0.8507839052735444,-0.1424422777513978,49.4477,-3.0068300490775024,-0.6753187275404415,96.8613,-2.869103483629165,-0.2251342348454144,-6.766917293233088,14.68,14.78,14.94,-0.0999999999999996,0.2599999999999998
1982-04-01,95.0,6.621773288439958,0.316789862724387,94.7,8.850574712643677,0.8519701810436597,99.6,1.6326530612244872,0.0,9.3,29.166666666666675,3.333333333333344,90150.0,-1.2411949651085052,-0.3140411792025177,48.9913,-3.496033770567364,-0.9229954072686786,96.70891,-2.88717835220248,-0.1573280556837475,5.645161290322576,14.94,14.68,14.45,0.2599999999999998,-0.4900000000000002
1982-05-01,95.9,6.911928651059096,0.94736842105263,95.4,8.656036446469262,0.7391763463569179,99.8,1.5259409969481164,0.2008032128514081,9.4,25.333333333333343,1.0752688172043,90107.0,-1.302357167893442,-0.0476982806433712,48.6669,-4.677878061392383,-0.6621583832231548,96.63784,-2.7703718683768863,-0.0734885751478398,3.053435114503822,14.45,14.94,14.15,-0.4900000000000002,-0.2999999999999989
1982-06-01,97.0,7.182320441988943,1.147028154327412,96.1,8.465011286681712,0.7337526205450695,100.0,1.522842639593902,0.2004008016032177,9.6,28.000000000000004,2.127659574468077,89865.0,-1.7761503989507044,-0.2685695894880546,48.5415,-5.416648805371638,-0.2576699974726093,96.65383,-2.525463646262449,0.0165463135351595,-2.6666666666666616,14.15,14.45,12.59,-0.2999999999999989,-1.5600000000000005
1982-07-01,97.5,6.557377049180335,0.5154639175257714,96.7,7.683741648106901,0.624349635796051,100.4,1.4141414141414232,0.4000000000000003,9.8,36.11111111111112,2.083333333333348,89521.0,-2.270717568585501,-0.3827964168474973,48.3775,-6.345887659590954,-0.3378552372712007,96.74605,-2.192316056168475,0.0954126701445678,-0.4566210045662044,12.59,14.15,10.12,-1.5600000000000005,-2.4700000000000006
1982-08-01,97.7,5.965292841648595,0.2051282051282132,97.1,7.056229327453134,0.4136504653567741,100.3,1.3131313131313105,-0.099601593625509,9.8,32.432432432432435,0.0,89363.0,-2.404849014361388,-0.1764949006378358,47.9382,-7.079043928800566,-0.908066766575366,96.90195,-1.7870644511193243,0.1611435298908947,0.0,10.12,12.59,10.31,-2.4700000000000006,0.1900000000000012
