date,CPI,CPI_yoy,CPI_mom,coreCPI,coreCPI_yoy,coreCPI_mom,PCE,PCE_yoy,PCE_mom,corePCE,corePCE_yoy,corePCE_mom,PPI,PPI_yoy,PPI_mom,PPIfd,PPIfd_yoy,PPIfd_mom,corePPIfd,corePPIfd_yoy,corePPIfd_mom,unemployment,unemployment_yoy,unemployment_mom,Nonfarm,Nonfarm_yoy,Nonfarm_mom,AHE,AHE_yoy,AHE_mom,job openings,job openings_yoy,job openings_mom,GDP,GDP_yoy,GDP_mom,retail,retail_yoy,retail_mom,industrial production,industrial production_yoy,industrial production_mom,OECD leading,OECD leading_yoy,OECD leading_mom,consumer sentiment,consumer sentiment_yoy,consumer sentiment_mom,initial claims,continued claims,interest rate,previous interest rate,next interest rate,previous change,present change
1981-06-01,90.5,9.696969696969692,0.8918617614269708,88.6,9.3827160493827,0.9111617312072884,1934.5,12.54945310681872,1.0816177239000968,42.253,9.1103938024532,0.39919211120351683,98.5,11.048478015783548,0.20345879959309254,,,,,,,7.5,-1.3157894736842035,0.0,91490.0,1.541603311838946,0.21249561864704614,,,,,,,,,,,,,51.3214,5.08432930712166,0.5213964493332668,99.15803000000001,0.969616767073167,-0.23474879856244524,73.1,24.531516183986348,-4.193971166448229,433000.0,2903250.0,19.1,18.52,19.04,0.5800000000000018,-0.060000000000002274
1981-07-01,91.5,10.774818401937058,1.104972375690605,89.8,11.138613861386148,1.3544018058690765,1942.1,11.1613530994219,0.39286637373998623,42.508,8.92225695690052,0.6035074432584775,99.0,9.63455149501662,0.50761421319796,,,,,,,7.2,-7.692307692307687,-3.9999999999999925,91601.0,1.9601513802315118,0.12132473494370632,,,,,,,4.9,-1080.0,-268.96551724137936,,,,51.6555,6.526612319475711,0.650995491159656,98.91457,0.2522863833563038,-0.24552726592088625,74.1,18.9406099518459,1.3679890560875485,430750.0,2883000.0,19.04,19.1,17.82,-0.060000000000002274,-1.2199999999999989
1981-08-01,92.2,10.817307692307686,0.7650273224043769,90.7,11.56211562115621,1.0022271714922093,1966.6,11.497902256491654,1.2615210339323335,42.774,8.698635358694817,0.6257645619647922,99.0,8.196721311475418,0.0,,,,,,,7.4,-3.8961038961038974,2.77777777777779,91565.0,1.6270990799009954,-0.039300880994752596,,,,,,,,,,,,,51.5903,6.053373789201899,-0.12622082837259185,98.66516,-0.5217244714850189,-0.2521468778563185,77.2,14.710252600297192,4.183535762483137,450200.0,2948400.0,17.82,19.04,15.87,-1.2199999999999989,-1.950000000000001
1981-09-01,93.1,10.96543504171632,0.9761388286333883,91.8,11.814859926918398,1.2127894156560126,1965.5,10.390339792193215,-0.05593409946099692,43.033,8.354525997733852,0.6055080188899886,98.8,7.742639040348953,-0.20202020202020332,,,,,,,7.6,1.3333333333333197,2.7027027027026973,91477.0,1.4011284404686686,-0.09610659094632101,,,,,,,,,,,,,51.3429,3.811532255781702,-0.4795475118384629,98.39061,-1.247858409637681,-0.2782643843074917,73.1,-0.8141112618724633,-5.310880829015552,473250.0,3013000.0,15.87,17.82,15.08,-1.950000000000001,-0.7899999999999991
1981-10-01,93.4,10.271546635182993,0.3222341568206444,92.1,10.963855421686741,0.32679738562091387,1963.9,8.07880689009961,-0.08140422284405036,43.228,7.980915744510786,0.45314061301791053,98.9,6.573275862068972,0.10121457489880026,,,,,,,7.9,5.3333333333333455,3.9473684210526327,91380.0,0.9835340921648728,-0.10603758321764412,,,,,,,-4.3,-155.84415584415586,-187.75510204081633,,,,50.9463,1.7174425639049584,-0.7724534453644072,98.10247,-1.829301364448288,-0.2928531492995101,70.3,-6.266666666666676,-3.830369357045138,492800.0,3127000.0,15.08,15.87,13.31,-0.7899999999999991,-1.7699999999999996
1981-11-01,93.8,9.579439252336464,0.4282655246252487,92.5,10.250297973778299,0.43431053203040193,1970.6,7.871688197941751,0.3411579000967446,43.46,7.683540226467445,0.5366891829369891,98.8,6.008583690987113,-0.10111223458039165,,,,,,,8.3,10.666666666666668,5.063291139240511,91171.0,0.46723307657552393,-0.22871525497920597,,,,,,,,,,,,,50.3546,-1.1121170285678494,-1.1614189843030864,97.81953,-2.2285735418174246,-0.2884127178449214,62.5,-18.513689700130374,-11.09530583214794,511750.0,3337250.0,13.31,15.08,12.37,-1.7699999999999996,-0.9400000000000013
1981-12-01,94.1,8.912037037037024,0.31982942430703876,93.0,9.540636042402827,0.540540540540535,1988.8,7.404007128584533,0.9235765756622438,43.594,7.3188744737943345,0.3083294983893259,98.8,5.330490405117261,0.0,,,,,,,8.5,18.055555555555557,2.409638554216853,90895.0,-0.052780312943268015,-0.30272784108982265,,,,,,,,,,,,,49.8086,-2.825760383947562,-1.0843100729625466,97.5635,-2.4663452983387124,-0.2617370989208334,64.3,-0.31007751937984773,2.8799999999999937,551000.0,3525250.0,12.37,13.31,13.22,-0.9400000000000013,0.8500000000000014
1982-01-01,94.4,8.25688073394495,0.31880977683316214,93.3,9.250585480093676,0.3225806451612856,1997.1,6.796791443850259,0.41733708769107203,43.853,6.929848089536961,0.5941184566683466,99.7,4.726890756302526,0.9109311740890691,,,,,,,8.6,14.666666666666671,1.17647058823529,90565.0,-0.5140992826777158,-0.36305627372242855,,,,,,,-6.1,-175.30864197530863,41.86046511627908,,,,48.7877,-4.2116278704489085,-2.0496460450604825,97.32259,-2.621933715637803,-0.24692636078041952,71.0,-0.5602240896358635,10.419906687402802,535200.0,3533600.0,13.22,12.37,14.78,0.8500000000000014,1.5599999999999987
1982-02-01,94.7,7.613636363636367,0.3177966101694851,93.8,9.196740395809066,0.5359056806002238,2021.2,7.270990340728156,1.2067497871914412,43.985,6.1772799691015345,0.3010056324538768,99.8,3.8501560874089513,0.10030090270811698,,,,,,,8.9,20.270270270270263,3.488372093023262,90563.0,-0.5949179518138448,-0.0022083586374455066,,,,,,,,,,,,,49.7839,-1.8527828214424336,2.041908103886847,97.07986,-2.7575506246444115,-0.2494076657844846,66.5,-0.5979073243647326,-6.338028169014088,533750.0,3555500.0,14.78,13.22,14.68,1.5599999999999987,-0.09999999999999964
1982-03-01,94.7,6.884875846501148,0.0,93.9,8.680555555555557,0.10660980810235365,2024.1,6.369225918335153,0.1434791213140718,44.098,5.712573414838773,0.25690576332839665,99.6,2.680412371134011,-0.2004008016032066,,,,,,,9.0,21.62162162162162,1.1235955056179803,90434.0,-0.8507839052735444,-0.14244227775139784,,,,,,,,,,,,,49.4477,-3.0068300490775024,-0.6753187275404415,96.8613,-2.869103483629165,-0.2251342348454144,62.0,-6.766917293233088,-6.766917293233088,556500.0,3655500.0,14.68,14.78,14.94,-0.09999999999999964,0.2599999999999998
