date,CPI,CPI_yoy,CPI_mom,coreCPI,coreCPI_yoy,coreCPI_mom,PPI,PPI_yoy,Nonfarm,industrial production,interest rate,previous interest rate,next interest rate,previous change,present change
1983-04-01,98.8,4.000000000000004,0.7135575942915473,98.6,4.118268215417098,0.4073319755600657,100.4,0.8032128514056325,89364.0,48.4483,8.8,8.77,8.63,0.0300000000000011,-0.1699999999999999
1983-05-01,99.2,3.44108446298228,0.4048582995951566,98.9,3.6687631027253698,0.3042596348884485,100.8,1.002004008016022,89644.0,48.747,8.63,8.8,8.98,-0.1699999999999999,0.3499999999999996
1983-06-01,99.4,2.4742268041237248,0.2016129032258007,99.2,3.2258064516129226,0.3033367037411416,101.0,1.0000000000000009,90021.0,49.0434,8.98,8.63,9.37,0.3499999999999996,0.3899999999999988
1983-07-01,99.8,2.358974358974364,0.4024144869215096,99.8,3.205791106514999,0.6048387096774244,101.3,0.8964143426294813,90437.0,49.7739,9.37,8.98,9.56,0.3899999999999988,0.1900000000000012
1983-08-01,100.1,2.456499488229258,0.3006012024048043,100.1,3.0895983522142068,0.3006012024048043,101.8,1.495513459621134,90129.0,50.364,9.56,9.37,9.45,0.1900000000000012,-0.1100000000000012
1983-09-01,100.4,2.763561924257929,0.2997002997003006,100.5,3.3950617283950546,0.3996003996004083,102.0,2.0000000000000018,91247.0,51.0937,9.45,9.56,9.48,-0.1100000000000012,0.0300000000000011
1983-10-01,100.8,2.752293577981657,0.3984063745019917,101.0,3.589743589743599,0.4975124378109541,102.2,1.9960079840319445,91520.0,51.4902,9.48,9.45,9.34,0.0300000000000011,-0.1400000000000005
1983-11-01,101.1,3.1632653061224536,0.2976190476190465,101.5,4.316546762589923,0.4950495049504955,102.1,1.7946161515453696,91875.0,51.721,9.34,9.48,9.47,-0.1400000000000005,0.1300000000000007
1983-12-01,101.4,3.787103377686796,0.2967359050445317,101.8,4.732510288065828,0.2955665024630516,102.3,1.7910447761193993,92230.0,51.9769,9.47,9.34,9.56,0.1300000000000007,0.0899999999999998
1984-01-01,102.1,4.290091930541351,0.6903353057199135,102.5,5.020491803278704,0.6876227897838927,102.9,2.694610778443108,92673.0,53.0088,9.56,9.47,9.59,0.0899999999999998,0.0299999999999993
1984-02-01,102.6,4.693877551020398,0.4897159647404558,102.8,4.8979591836734615,0.2926829268292685,103.2,2.686567164179099,93157.0,53.2486,9.59,9.56,9.91,0.0299999999999993,0.3200000000000003
1984-03-01,102.9,4.892966360856277,0.2923976608187217,103.2,5.0916496945010215,0.3891050583657574,103.9,3.486055776892427,93429.0,53.5028,9.91,9.59,10.29,0.3200000000000003,0.379999999999999
1984-04-01,103.3,4.5546558704453455,0.3887269193391551,103.7,5.172413793103448,0.4844961240310086,104.0,3.585657370517925,93792.0,53.8233,10.29,9.91,10.32,0.379999999999999,0.0300000000000011
1984-05-01,103.5,4.3346774193548265,0.1936108422071703,104.1,5.257836198179966,0.3857280617164837,104.1,3.273809523809512,94098.0,54.1104,10.32,10.29,11.06,0.0300000000000011,0.7400000000000002
1984-06-01,103.7,4.325955734406439,0.1932367149758418,104.5,5.3427419354838745,0.3842459173871271,104.0,2.970297029702973,94479.0,54.3075,11.06,10.32,11.23,0.7400000000000002,0.1699999999999999
1984-07-01,104.1,4.308617234468937,0.3857280617164837,105.0,5.210420841683372,0.4784688995215225,104.2,2.8627838104639647,94789.0,54.4587,11.23,11.06,11.64,0.1699999999999999,0.4100000000000001
1984-08-01,104.4,4.295704295704317,0.2881844380403509,105.4,5.294705294705304,0.3809523809523929,103.8,1.964636542239684,95032.0,54.5239,11.64,11.23,11.3,0.4100000000000001,-0.3399999999999998
1984-09-01,104.7,4.2828685258964105,0.2873563218390718,105.8,5.273631840796011,0.3795066413662118,103.4,1.3725490196078385,95344.0,54.3696,11.3,11.64,9.99,-0.3399999999999998,-1.3100000000000005
1984-10-01,105.1,4.265873015873023,0.3820439350525229,106.2,5.148514851485153,0.3780718336483968,103.4,1.1741682974559795,95629.0,54.3474,9.99,11.3,9.43,-1.3100000000000005,-0.5600000000000005
1984-11-01,105.3,4.154302670623156,0.1902949571836343,106.4,4.827586206896561,0.1883239171374784,103.7,1.5670910871694588,95982.0,54.529,9.43,9.99,8.38,-0.5600000000000005,-1.049999999999999
1984-12-01,105.5,4.043392504930954,0.1899335232668608,106.8,4.911591355599221,0.3759398496240518,103.5,1.1730205278592365,96107.0,54.5556,8.38,9.43,8.35,-1.049999999999999,-0.0300000000000011
1985-01-01,105.7,3.52595494613126,0.1895734597156417,107.1,4.4878048780487845,0.2808988764045006,103.4,0.4859086491739495,96372.0,54.527,8.35,8.38,8.5,-0.0300000000000011,0.1500000000000003
1985-02-01,106.3,3.606237816764146,0.5676442762535316,107.7,4.76653696498055,0.5602240896358524,103.3,0.0968992248062017,96503.0,54.6871,8.5,8.35,8.58,0.1500000000000003,0.08
1985-03-01,106.8,3.790087463556846,0.470366886171214,108.1,4.748062015503862,0.3714020427112219,103.1,-0.7699711260827802,96842.0,54.7673,8.58,8.5,8.27,0.08,-0.3100000000000005
1985-04-01,107.0,3.581800580832528,0.1872659176030078,108.4,4.532304725168768,0.2775208140610719,103.3,-0.6730769230769207,97038.0,54.6467,8.27,8.58,7.97,-0.3100000000000005,-0.2999999999999998
1985-05-01,107.2,3.5748792270531515,0.1869158878504695,108.8,4.514889529298749,0.3690036900368953,103.5,-0.5763688760806907,97312.0,54.7396,7.97,8.27,7.53,-0.2999999999999998,-0.4399999999999995
1985-06-01,107.5,3.6644165863066513,0.2798507462686617,109.1,4.401913875598074,0.2757352941176405,103.3,-0.6730769230769207,97459.0,54.711,7.53,7.97,7.88,-0.4399999999999995,0.3499999999999996
1985-07-01,107.7,3.458213256484166,0.1860465116279019,109.4,4.190476190476189,0.2749770852429112,103.2,-0.9596928982725572,97648.0,54.4365,7.88,7.53,7.9,0.3499999999999996,0.0200000000000004
1985-08-01,107.9,3.3524904214559337,0.185701021355622,109.8,4.174573055028463,0.3656307129798808,102.7,-1.059730250481694,97840.0,54.6121,7.9,7.88,7.92,0.0200000000000004,0.0199999999999995
1985-09-01,108.1,3.2473734479465,0.1853568118628246,110.0,3.969754253308122,0.1821493624772241,102.1,-1.2572533849129708,98045.0,54.8147,7.92,7.9,7.99,0.0199999999999995,0.0700000000000002
1985-10-01,108.5,3.2350142721217834,0.3700277520814143,110.5,4.048964218455731,0.454545454545463,102.9,-0.4835589941972973,98233.0,54.6228,7.99,7.92,8.05,0.0700000000000002,0.0600000000000005
1985-11-01,109.0,3.51377018043686,0.4608294930875667,111.1,4.417293233082686,0.5429864253393646,103.4,-0.2892960462873684,98443.0,54.8123,8.05,7.99,8.27,0.0600000000000005,0.2199999999999988
1985-12-01,109.5,3.791469194312791,0.4587155963302836,111.4,4.307116104868913,0.2700270027002904,103.6,0.0966183574879098,98609.0,55.3553,8.27,8.05,8.14,0.2199999999999988,-0.129999999999999
1986-01-01,109.9,3.973509933774833,0.3652968036529813,111.9,4.481792717086841,0.4488330341113178,103.2,-0.1934235976789211,98732.0,55.6453,8.14,8.27,7.86,-0.129999999999999,-0.2800000000000002
1986-02-01,109.7,3.19849482596426,-0.1819836214740688,112.2,4.178272980501396,0.2680965147453085,101.7,-1.5488867376573068,98847.0,55.2634,7.86,8.14,7.48,-0.2800000000000002,-0.3799999999999999
1986-03-01,109.1,2.153558052434445,-0.5469462169553352,112.5,4.070305272895469,0.2673796791443861,100.3,-2.715809893307464,98934.0,54.8728,7.48,7.86,6.99,-0.3799999999999999,-0.4900000000000002
1986-04-01,108.7,1.5887850467289688,-0.3666361136571927,112.9,4.151291512915134,0.3555555555555534,99.6,-3.581800580832528,99121.0,54.935,6.99,7.48,6.85,-0.4900000000000002,-0.1400000000000005
1986-05-01,109.0,1.679104477611948,0.2759889604415866,113.1,3.952205882352944,0.1771479185119551,100.0,-3.3816425120772986,99248.0,55.0399,6.85,6.99,6.92,-0.1400000000000005,0.0700000000000002
1986-06-01,109.4,1.7674418604651132,0.3669724770642313,113.4,3.9413382218148607,0.2652519893899363,99.9,-3.2913843175217727,99155.0,54.826,6.92,6.85,6.56,0.0700000000000002,-0.3600000000000003
1986-07-01,109.5,1.671309192200554,0.0914076782449591,113.8,4.021937842778778,0.3527336860670083,99.4,-3.6821705426356544,99473.0,55.167,6.56,6.92,6.17,-0.3600000000000003,-0.3899999999999997
1986-08-01,109.6,1.575532900834098,0.0913242009132453,114.2,4.007285974499086,0.3514938488576424,99.3,-3.31061343719572,99588.0,55.0726,6.17,6.56,5.89,-0.3899999999999997,-0.2800000000000002
1986-09-01,110.0,1.757631822386685,0.3649635036496512,114.6,4.181818181818175,0.3502626970227629,99.4,-2.6444662095984173,99934.0,55.2237,5.89,6.17,5.85,-0.2800000000000002,-0.04
1986-10-01,110.2,1.5668202764977046,0.1818181818181941,115.0,4.072398190045257,0.3490401396160525,99.7,-3.109815354713319,100121.0,55.4589,5.85,5.89,6.04,-0.04,0.1900000000000004
1986-11-01,110.4,1.2844036697247765,0.1814882032667997,115.3,3.7803780378037777,0.2608695652173809,99.8,-3.481624758220514,100308.0,55.6763,6.04,5.85,6.91,0.1900000000000004,0.8700000000000001
1986-12-01,110.8,1.187214611872145,0.3623188405797117,115.6,3.770197486535,0.2601908065914982,99.7,-3.764478764478752,100509.0,56.2078,6.91,6.04,6.43,0.8700000000000001,-0.4800000000000004
1987-01-01,111.4,1.364877161055511,0.5415162454873723,115.9,3.574620196604106,0.2595155709342656,100.5,-2.6162790697674465,100678.0,55.9911,6.43,6.91,6.1,-0.4800000000000004,-0.33
1987-02-01,111.8,1.914311759343668,0.3590664272890453,116.2,3.5650623885918,0.2588438308886998,101.0,-0.68829891838742,100919.0,56.7373,6.1,6.43,6.13,-0.33,0.0300000000000002
1987-03-01,112.2,2.8414298808432603,0.3577817531305927,116.6,3.64444444444445,0.344234079173833,101.2,0.8973080757726848,101164.0,56.8136,6.13,6.1,6.37,0.0300000000000002,0.2400000000000002
1987-04-01,112.7,3.679852805887762,0.4456327985739694,117.3,3.8972542072630567,0.6003430531732468,101.9,2.309236947791171,101499.0,57.185,6.37,6.13,6.85,0.2400000000000002,0.4799999999999995
1987-05-01,113.0,3.669724770642202,0.2661934338952898,117.7,4.0671971706454535,0.3410059676044463,102.6,2.6000000000000023,101728.0,57.5424,6.85,6.37,6.73,0.4799999999999995,-0.1199999999999992
1987-06-01,113.5,3.7477148080438782,0.4424778761061843,117.9,3.968253968253976,0.1699235344095218,103.0,3.1031031031030887,101900.0,57.8502,6.73,6.85,6.58,-0.1199999999999992,-0.1500000000000003
1987-07-01,113.8,3.926940639269394,0.2643171806167466,118.3,3.954305799648506,0.3392705682782049,103.5,4.124748490945662,102247.0,58.2421,6.58,6.73,6.73,-0.1500000000000003,0.1500000000000003
1987-08-01,114.3,4.2883211678832245,0.4393673110720586,118.7,3.9404553415061327,0.3381234150464873,103.8,4.53172205438066,102420.0,58.6784,6.73,6.58,7.22,0.1500000000000003,0.4899999999999993
1987-09-01,114.7,4.2727272727272725,0.3499562554680757,119.2,4.013961605584648,0.4212299915753892,103.7,4.325955734406439,102647.0,58.9088,7.22,6.73,7.29,0.4899999999999993,0.0700000000000002
