date,unemployment,unemployment_yoy,unemployment_mom,Nonfarm,Nonfarm_yoy,Nonfarm_mom,interest rate
2007-03-01,4.4,-6.382978723404253,-2.2222222222222143,137782.0,1.2797612484471532,0.1642967227892589,5.26
2007-04-01,4.5,-4.255319148936176,2.2727272727272707,137842.0,1.1981499155715447,0.0435470525903314,5.25
2007-05-01,4.4,-4.347826086956507,-2.2222222222222143,137993.0,1.2814961063362773,0.109545711756942,5.25
2007-06-01,4.6,0.0,4.545454545454519,138072.0,1.27926764861217,0.0572492807606073,5.25
2007-07-01,4.7,0.0,2.1739130434782705,138042.0,1.113373668712736,-0.0217277941943372,5.26
2007-08-01,4.6,-2.1276595744680997,-2.1276595744680997,138017.0,0.9722872527215154,-0.0181104301589352,5.02
2007-09-01,4.7,4.444444444444451,2.1739130434782705,138103.0,0.934039831902056,0.0623111645666751,4.94
2007-10-01,4.7,6.818181818181812,0.0,138175.0,0.9689511797674744,0.0521350006879028,4.76
2007-11-01,4.7,4.444444444444451,0.0,138291.0,0.8922578574138473,0.0839515107653232,4.49
2007-12-01,5.0,13.636363636363624,6.382978723404253,138396.0,0.8342380019089157,0.0759268499034737,4.24
2008-01-01,5.0,8.69565217391306,0.0,138397.0,0.6706673940716446,0.0007225642359554,3.94
2008-02-01,4.9,8.888888888888902,-1.999999999999991,138326.0,0.5597720201227174,-0.0513016900655416,2.98
2008-03-01,5.1,15.909090909090896,4.081632653061207,138256.0,0.3440217154635494,-0.0506050923181455,2.61
2008-04-01,5.0,11.111111111111116,-1.9607843137254832,138037.0,0.1414663165073104,-0.1584018053466085,2.28
2008-05-01,5.4,22.72727272727273,8.000000000000007,137847.0,-0.1058024682411451,-0.1376442548012502,1.98
2008-06-01,5.6,21.739130434782616,3.703703703703698,137689.0,-0.2773915058809861,-0.1146198321327229,2.0
2008-07-01,5.8,23.404255319148938,3.571428571428581,137492.0,-0.398429463496619,-0.1430760627210592,2.01
2008-08-01,6.1,32.60869565217392,5.172413793103448,137209.0,-0.5854351275567549,-0.2058301573909737,2.0
