date,CPI_yoy,coreCPI_yoy,corePCE_yoy,unemployment,continued claims,interest rate,previous interest rate,next interest rate,previous change,present change
2007-10-01,3.610698365527476,2.156551059730249,3.08847488843238,4.7,2561750.0,4.76,4.94,4.49,-0.1800000000000006,-0.2699999999999996
2007-11-01,4.373267326732666,2.338787295476408,3.5996270550330056,4.7,2616750.0,4.49,4.76,4.24,-0.2699999999999996,-0.25
2007-12-01,4.108813392417532,2.4353676117251366,3.471634208298058,5.0,2712000.0,4.24,4.49,3.94,-0.25,-0.3000000000000002
2008-02-01,4.142959270611968,2.29708083295479,3.272922728175653,4.9,2844250.0,2.98,3.94,2.61,-0.96,-0.3700000000000001
2008-03-01,3.9749035501344334,2.388524386633417,3.1911425710759778,5.1,2912800.0,2.61,2.98,2.28,-0.3700000000000001,-0.33
2008-04-01,3.903760975988813,2.294669292051843,3.13951867682587,5.0,2964000.0,2.28,2.61,1.98,-0.33,-0.2999999999999998
2008-06-01,4.935966105947864,2.3917259211377,3.8114389395462736,5.6,3057750.0,2.0,1.98,2.01,0.02,0.0099999999999997
2008-07-01,5.497512078341837,2.463313612274831,4.135655023597695,5.8,3176250.0,2.01,2.0,2.0,0.0099999999999997,-0.0099999999999997
2008-08-01,5.308017162091239,2.4981171756213394,3.9806273062730657,6.1,3378000.0,2.0,2.01,1.81,-0.0099999999999997,-0.1899999999999999
2008-09-01,4.953319875136075,2.4386208722122937,3.6678383532060543,6.1,3521750.0,1.81,2.0,0.97,-0.1899999999999999,-0.8400000000000001
2008-10-01,3.7310578899565128,2.2213629955157854,2.6718431480336147,6.5,3731000.0,0.97,1.81,0.39,-0.8400000000000001,-0.58
2008-11-01,1.0999174706166848,2.015893915169764,0.9250293343662008,6.8,4096600.0,0.39,0.97,0.16,-0.58,-0.23
2008-12-01,-0.022228002553859,1.7624596562335837,0.1295690125477477,7.3,4522250.0,0.16,0.39,0.15,-0.23,-0.01
2009-01-01,-0.1135860190221271,1.6723503187990874,-0.1111035530462767,7.8,4861200.0,0.15,0.16,0.22,-0.01,0.07
2009-02-01,0.0084631406715107,1.800980653363804,-0.1312484442533512,8.3,5297000.0,0.22,0.15,0.18,0.07,-0.04
2009-03-01,-0.4464787676623838,1.7876130957932943,-0.5257516782309568,8.7,5765750.0,0.18,0.22,0.15,-0.04,-0.03
2009-05-01,-1.015761495855172,1.8461309413034588,-0.8892128279883504,9.4,6525600.0,0.18,0.15,0.21,0.03,0.03
2009-06-01,-1.2291746182109151,1.711972667855011,-1.018624689681269,9.5,6534250.0,0.21,0.18,0.16,0.03,-0.0499999999999999
2009-07-01,-1.958761003762277,1.5270992984974363,-1.4660091971854472,9.5,6139000.0,0.16,0.21,0.16,-0.0499999999999999,0.0
2009-08-01,-1.4838355663267633,1.4339650543224725,-1.1001197711041022,9.6,6047800.0,0.16,0.16,0.15,0.0,-0.01
2009-09-01,-1.377942862886472,1.4798373886199645,-1.0227486786264397,9.8,5984750.0,0.15,0.16,0.12,-0.01,-0.03
2009-10-01,-0.2239682942003384,1.712733177113113,0.0133852383130239,10.0,5765600.0,0.12,0.15,0.12,-0.03,0.0
2009-11-01,1.9145871744709275,1.714243571010421,1.4606120122357291,9.9,5460500.0,0.12,0.12,0.12,0.0,0.0
2009-12-01,2.8141231232083674,1.8236717759594343,2.089718268292118,9.9,5141750.0,0.12,0.12,0.11,0.0,-0.0099999999999999
2010-01-01,2.621111388976716,1.5123351706495702,2.301720615608116,9.8,4839000.0,0.11,0.12,0.13,-0.0099999999999999,0.02
2010-02-01,2.151336357866529,1.3494526888039982,2.116330183762716,9.8,4793750.0,0.13,0.11,0.16,0.02,0.03
2010-03-01,2.2861714393279886,1.1592051426555503,2.3727160339801934,9.9,4731750.0,0.16,0.13,0.2,0.03,0.04
2010-04-01,2.2067707525304403,0.9675088932173947,2.282122430488709,9.9,4728000.0,0.2,0.16,0.2,0.04,0.0
2010-05-01,2.003548929218568,0.9401381427474932,2.20846957131704,9.6,4674800.0,0.2,0.2,0.18,0.0,-0.02
2010-06-01,1.1215605940686268,0.9501989849939774,1.5622188231059877,9.4,4583250.0,0.18,0.2,0.18,-0.02,0.0
2010-07-01,1.3407784804821077,0.9577539302116688,1.6373900721981194,9.4,4528600.0,0.18,0.18,0.19,0.0,0.01
2010-08-01,1.1501775395112546,0.9171009950067256,1.4823951558645243,9.5,4461250.0,0.19,0.18,0.19,0.01,0.0
2010-09-01,1.1183122472331777,0.8143870498363182,1.419551296404098,9.5,4467750.0,0.19,0.19,0.19,0.0,0.0
2010-10-01,1.1666951489314623,0.6027183550187942,1.3584198610352205,9.4,4363400.0,0.19,0.19,0.19,0.0,0.0
2010-11-01,1.084544776600338,0.672056411046551,1.3071968137772894,9.8,4195500.0,0.19,0.19,0.18,0.0,-0.01
2010-12-01,1.437793022217937,0.6618948664665503,1.477668197333748,9.3,4100000.0,0.18,0.19,0.17,-0.01,-0.0099999999999999
2011-01-01,1.7007834915029774,0.9835337415527112,1.5598650927487467,9.1,3918400.0,0.17,0.18,0.16,-0.0099999999999999,-0.01
2011-02-01,2.124898173333145,1.124445592146106,1.8450307320212025,9.0,3849250.0,0.16,0.17,0.14,-0.01,-0.0199999999999999
2011-03-01,2.619241510354109,1.2097851736773355,2.1105460830259,9.0,3765500.0,0.14,0.16,0.1,-0.0199999999999999,-0.04
2011-04-01,3.0772344447868694,1.3155392125784535,2.488096556306063,9.1,3770800.0,0.1,0.14,0.09,-0.04,-0.01
2011-05-01,3.4589718808965,1.4540961794335727,2.7662471357885243,9.0,3773750.0,0.09,0.1,0.09,-0.01,0.0
2011-06-01,3.502318150636041,1.5836776766096738,2.7884519551278464,9.1,3741750.0,0.09,0.09,0.07,0.0,-0.0199999999999999
2011-07-01,3.5798809769996165,1.741483445742964,2.875699838456258,9.0,3721600.0,0.07,0.09,0.1,-0.0199999999999999,0.03
2011-08-01,3.75499603070808,1.9651571719433656,2.9767297960266115,9.0,3716000.0,0.1,0.07,0.08,0.03,-0.02
2011-09-01,3.812621692818685,1.9877227562006272,3.0190303779583205,9.0,3742750.0,0.08,0.1,0.07,-0.02,-0.0099999999999999
2011-10-01,3.5222681306640524,2.107920479646564,2.693632332390705,8.8,3701600.0,0.07,0.08,0.08,-0.0099999999999999,0.0099999999999999
2011-11-01,3.451432214581729,2.138204538395394,2.699259844940816,8.6,3652500.0,0.08,0.07,0.07,0.0099999999999999,-0.0099999999999999
2011-12-01,3.062066838419386,2.276662633858506,2.5266248849541872,8.5,3573400.0,0.07,0.08,0.08,-0.0099999999999999,0.0099999999999999
2012-01-01,3.0087663379855023,2.2773481506083826,2.569312446745764,8.3,3451250.0,0.08,0.07,0.1,0.0099999999999999,0.02
2012-02-01,2.898178442347388,2.159820440565729,2.51315402464134,8.3,3381750.0,0.1,0.08,0.13,0.02,0.03
2012-03-01,2.5828752813320977,2.2483374654291177,2.2980274721697835,8.2,3336800.0,0.13,0.1,0.14,0.03,0.01
2012-04-01,2.2731633741348567,2.314427851801515,1.9998487418563693,8.2,3323000.0,0.14,0.13,0.16,0.01,0.0199999999999999
2012-05-01,1.7379429374660749,2.252258280361308,1.5769404769598871,8.2,3328000.0,0.16,0.14,0.16,0.0199999999999999,0.0
2012-06-01,1.653870448297634,2.192285611289857,1.5460196726963191,8.2,3324400.0,0.16,0.16,0.16,0.0,0.0
2012-07-01,1.4175114798464783,2.109955687378462,1.4100261354958563,8.2,3305750.0,0.16,0.16,0.13,0.0,-0.03
2012-08-01,1.6859349154821237,1.9352524993137443,1.51186746212284,8.1,3306250.0,0.13,0.16,0.14,-0.03,0.01
2012-09-01,1.9497168982819613,2.0082434834909124,1.6779710051753494,7.8,3314400.0,0.14,0.13,0.16,0.01,0.0199999999999999
2012-10-01,2.1556780595369363,1.9946491483669333,1.9768774978838444,7.8,3276250.0,0.16,0.14,0.16,0.0199999999999999,0.0
2012-12-01,1.7595049796895523,1.8996943778720743,1.6243828413875503,7.9,3190200.0,0.16,0.16,0.14,0.0,-0.0199999999999999
2013-01-01,1.684061762098299,1.9098022178631435,1.470807506336924,8.0,3132750.0,0.14,0.16,0.15,-0.0199999999999999,0.0099999999999999
2013-02-01,2.0181404902574807,1.9887385214485631,1.6046076681118793,7.7,3058750.0,0.15,0.14,0.14,0.0099999999999999,-0.0099999999999999
2013-03-01,1.5187472411246183,1.889022137798824,1.276992915022701,7.5,3037800.0,0.14,0.15,0.15,-0.0099999999999999,0.0099999999999999
2013-04-01,1.138808047576867,1.715558856294086,1.0412253198881505,7.6,3041500.0,0.15,0.14,0.11,0.0099999999999999,-0.0399999999999999
2013-05-01,1.3903888279197083,1.6455519491850756,1.2290301372187118,7.5,3012250.0,0.11,0.15,0.09,-0.0399999999999999,-0.02
2013-06-01,1.7157935271568725,1.6230952474272975,1.5055063976064709,7.5,2992800.0,0.09,0.11,0.09,-0.02,0.0
2013-07-01,1.885471805415806,1.7002217680567089,1.5951128457492023,7.3,3020250.0,0.09,0.09,0.08,0.0,-0.0099999999999999
2013-08-01,1.538809488600279,1.782107690904433,1.4047883304264983,7.2,2934400.0,0.08,0.09,0.08,-0.0099999999999999,0.0
2013-09-01,1.0947341081747997,1.7519368418314365,1.1412854478201728,7.2,2895750.0,0.08,0.08,0.09,0.0,0.0099999999999999
2013-11-01,1.2328701961954458,1.7416677473738762,1.1954704602088029,6.9,2851200.0,0.08,0.09,0.09,-0.0099999999999999,0.0099999999999999
2013-12-01,1.5128383667573295,1.7408566188369834,1.3881001955959429,6.7,2858500.0,0.09,0.08,0.07,0.0099999999999999,-0.0199999999999999
2014-01-01,1.557758795574915,1.6070344358370292,1.4054054054054133,6.6,2876750.0,0.07,0.09,0.07,-0.0199999999999999,0.0
2014-02-01,1.1204746347724948,1.5548073904948725,1.0939820528374389,6.7,2848750.0,0.07,0.07,0.08,0.0,0.0099999999999999
2014-03-01,1.6126949139408042,1.6456609706435588,1.38970341823057,6.7,2779200.0,0.08,0.07,0.09,0.0099999999999999,0.0099999999999999
2014-04-01,2.015125303606169,1.8210555250137483,1.6731138157687786,6.2,2721000.0,0.09,0.08,0.09,0.0099999999999999,0.0
2014-05-01,2.166947687079812,1.9455269618362525,1.7661662878033946,6.3,2667400.0,0.09,0.09,0.1,0.0,0.01
